InterPad_I	InterPad_V
-3.7849e-06	-5.0000e-01
-3.8020e-06	-4.9900e-01
-3.8022e-06	-4.9800e-01
-3.8036e-06	-4.9700e-01
-3.7913e-06	-4.9600e-01
-3.8215e-06	-4.9500e-01
-3.8198e-06	-4.9400e-01
-3.8057e-06	-4.9300e-01
-3.8010e-06	-4.9200e-01
-3.8387e-06	-4.9100e-01
-3.8285e-06	-4.9000e-01
-3.8411e-06	-4.8900e-01
-3.8100e-06	-4.8800e-01
-3.8097e-06	-4.8700e-01
-3.8145e-06	-4.8600e-01
-3.8351e-06	-4.8500e-01
-3.8257e-06	-4.8400e-01
-3.8356e-06	-4.8300e-01
-3.8356e-06	-4.8200e-01
-3.8189e-06	-4.8100e-01
-3.8327e-06	-4.8000e-01
-3.8352e-06	-4.7900e-01
-3.8491e-06	-4.7800e-01
-3.8357e-06	-4.7700e-01
-3.8593e-06	-4.7600e-01
-3.8335e-06	-4.7500e-01
-3.8324e-06	-4.7400e-01
-3.8389e-06	-4.7300e-01
-3.8401e-06	-4.7200e-01
-3.8450e-06	-4.7100e-01
-3.8405e-06	-4.7000e-01
-3.8792e-06	-4.6900e-01
-3.8364e-06	-4.6800e-01
-3.8323e-06	-4.6700e-01
-3.8586e-06	-4.6600e-01
-3.8649e-06	-4.6500e-01
-3.8485e-06	-4.6400e-01
-3.8557e-06	-4.6300e-01
-3.8580e-06	-4.6200e-01
-3.8685e-06	-4.6100e-01
-3.8578e-06	-4.6000e-01
-3.8450e-06	-4.5900e-01
-3.8469e-06	-4.5800e-01
-3.8476e-06	-4.5700e-01
-3.8530e-06	-4.5600e-01
-3.8460e-06	-4.5500e-01
-3.8371e-06	-4.5400e-01
-3.8460e-06	-4.5300e-01
-3.8760e-06	-4.5200e-01
-3.8442e-06	-4.5100e-01
-3.8726e-06	-4.5000e-01
-3.8439e-06	-4.4900e-01
-3.8482e-06	-4.4800e-01
-3.8316e-06	-4.4700e-01
-3.8564e-06	-4.4600e-01
-3.8692e-06	-4.4500e-01
-3.8332e-06	-4.4400e-01
-3.8511e-06	-4.4300e-01
-3.8459e-06	-4.4200e-01
-3.8516e-06	-4.4100e-01
-3.8765e-06	-4.4000e-01
-3.8619e-06	-4.3900e-01
-3.8768e-06	-4.3800e-01
-3.8925e-06	-4.3700e-01
-3.8652e-06	-4.3600e-01
-3.8492e-06	-4.3500e-01
-3.8681e-06	-4.3400e-01
-3.8544e-06	-4.3300e-01
-3.8680e-06	-4.3200e-01
-3.8550e-06	-4.3100e-01
-3.8715e-06	-4.3000e-01
-3.8883e-06	-4.2900e-01
-3.8588e-06	-4.2800e-01
-3.8514e-06	-4.2700e-01
-3.8601e-06	-4.2600e-01
-3.8656e-06	-4.2500e-01
-3.8704e-06	-4.2400e-01
-3.8598e-06	-4.2300e-01
-3.8466e-06	-4.2200e-01
-3.8513e-06	-4.2100e-01
-3.8756e-06	-4.2000e-01
-3.8821e-06	-4.1900e-01
-3.8933e-06	-4.1800e-01
-3.8636e-06	-4.1700e-01
-3.8657e-06	-4.1600e-01
-3.8395e-06	-4.1500e-01
-3.8679e-06	-4.1400e-01
-3.8580e-06	-4.1300e-01
-3.8542e-06	-4.1200e-01
-3.8603e-06	-4.1100e-01
-3.8832e-06	-4.1000e-01
-3.8510e-06	-4.0900e-01
-3.8787e-06	-4.0800e-01
-3.8761e-06	-4.0700e-01
-3.8470e-06	-4.0600e-01
-3.8466e-06	-4.0500e-01
-3.8496e-06	-4.0400e-01
-3.8569e-06	-4.0300e-01
-3.8378e-06	-4.0200e-01
-3.8464e-06	-4.0100e-01
-3.8480e-06	-4.0000e-01
-3.8621e-06	-3.9900e-01
-3.8443e-06	-3.9800e-01
-3.8555e-06	-3.9700e-01
-3.8560e-06	-3.9600e-01
-3.8616e-06	-3.9500e-01
-3.8471e-06	-3.9400e-01
-3.8449e-06	-3.9300e-01
-3.8459e-06	-3.9200e-01
-3.8318e-06	-3.9100e-01
-3.8442e-06	-3.9000e-01
-3.8578e-06	-3.8900e-01
-3.8466e-06	-3.8800e-01
-3.8259e-06	-3.8700e-01
-3.8301e-06	-3.8600e-01
-3.8333e-06	-3.8500e-01
-3.8506e-06	-3.8400e-01
-3.8210e-06	-3.8300e-01
-3.8373e-06	-3.8200e-01
-3.8312e-06	-3.8100e-01
-3.8330e-06	-3.8000e-01
-3.8243e-06	-3.7900e-01
-3.8492e-06	-3.7800e-01
-3.8424e-06	-3.7700e-01
-3.8294e-06	-3.7600e-01
-3.8376e-06	-3.7500e-01
-3.8371e-06	-3.7400e-01
-3.8309e-06	-3.7300e-01
-3.8390e-06	-3.7200e-01
-3.8524e-06	-3.7100e-01
-3.8620e-06	-3.7000e-01
-3.8344e-06	-3.6900e-01
-3.8298e-06	-3.6800e-01
