InterPad_I	InterPad_V
-1.4045e-09	-3.2300e-01
-1.5308e-09	-3.2200e-01
-1.4677e-09	-3.2100e-01
-1.6571e-09	-3.2000e-01
-1.4466e-09	-3.1900e-01
-1.2993e-09	-3.1800e-01
-1.4677e-09	-3.1700e-01
-1.5098e-09	-3.1600e-01
-1.7202e-09	-3.1500e-01
-1.8254e-09	-3.1400e-01
-1.4466e-09	-3.1300e-01
-1.3835e-09	-3.1200e-01
-1.4045e-09	-3.1100e-01
-1.3204e-09	-3.1000e-01
-1.4466e-09	-3.0900e-01
-1.3835e-09	-3.0800e-01
-1.4466e-09	-3.0700e-01
-1.4045e-09	-3.0600e-01
-1.6781e-09	-3.0500e-01
-1.1730e-09	-3.0400e-01
-1.2993e-09	-3.0300e-01
-1.2572e-09	-3.0200e-01
-1.3204e-09	-3.0100e-01
-1.5098e-09	-3.0000e-01
-1.2572e-09	-2.9900e-01
-1.2993e-09	-2.9800e-01
-1.3835e-09	-2.9700e-01
-1.5308e-09	-2.9600e-01
-1.1099e-09	-2.9500e-01
-1.4677e-09	-2.9400e-01
-1.2783e-09	-2.9300e-01
-1.2993e-09	-2.9200e-01
-1.2993e-09	-2.9100e-01
-1.2151e-09	-2.9000e-01
-1.2362e-09	-2.8900e-01
-1.7202e-09	-2.8800e-01
-1.4045e-09	-2.8700e-01
-1.1941e-09	-2.8600e-01
-1.1310e-09	-2.8500e-01
-1.4045e-09	-2.8400e-01
-1.1730e-09	-2.8300e-01
-1.2572e-09	-2.8200e-01
-1.3625e-09	-2.8100e-01
-1.0257e-09	-2.8000e-01
-1.2151e-09	-2.7900e-01
-1.5098e-09	-2.7800e-01
-1.2572e-09	-2.7700e-01
-1.5098e-09	-2.7600e-01
-1.2993e-09	-2.7500e-01
-1.1099e-09	-2.7400e-01
-1.3204e-09	-2.7300e-01
-1.2362e-09	-2.7200e-01
-1.4677e-09	-2.7100e-01
-1.0678e-09	-2.7000e-01
-1.2362e-09	-2.6900e-01
-1.1310e-09	-2.6800e-01
-1.1520e-09	-2.6700e-01
-1.2362e-09	-2.6600e-01
-1.5308e-09	-2.6500e-01
-1.0889e-09	-2.6400e-01
-1.0257e-09	-2.6300e-01
-1.3204e-09	-2.6200e-01
-1.2993e-09	-2.6100e-01
-1.2151e-09	-2.6000e-01
-1.1099e-09	-2.5900e-01
-1.2362e-09	-2.5800e-01
-1.1099e-09	-2.5700e-01
-1.2993e-09	-2.5600e-01
-1.3625e-09	-2.5500e-01
-1.1730e-09	-2.5400e-01
-1.0889e-09	-2.5300e-01
-1.1941e-09	-2.5200e-01
-1.2993e-09	-2.5100e-01
-1.2993e-09	-2.5000e-01
-1.1730e-09	-2.4900e-01
-1.0678e-09	-2.4800e-01
-1.1520e-09	-2.4700e-01
-1.1520e-09	-2.4600e-01
-1.1099e-09	-2.4500e-01
-1.1941e-09	-2.4400e-01
-9.6260e-10	-2.4300e-01
-1.1730e-09	-2.4200e-01
-1.3625e-09	-2.4100e-01
-1.1520e-09	-2.4000e-01
-1.2151e-09	-2.3900e-01
-1.3625e-09	-2.3800e-01
-1.1941e-09	-2.3700e-01
-1.1520e-09	-2.3600e-01
-1.1520e-09	-2.3500e-01
-1.1099e-09	-2.3400e-01
-1.0047e-09	-2.3300e-01
-9.4155e-10	-2.3200e-01
-1.2783e-09	-2.3100e-01
-1.0468e-09	-2.3000e-01
-1.1520e-09	-2.2900e-01
-1.2362e-09	-2.2800e-01
-1.3414e-09	-2.2700e-01
-1.1310e-09	-2.2600e-01
-1.1941e-09	-2.2500e-01
-1.0047e-09	-2.2400e-01
-1.2783e-09	-2.2300e-01
-1.1310e-09	-2.2200e-01
-8.9946e-10	-2.2100e-01
-1.0468e-09	-2.2000e-01
-9.8364e-10	-2.1900e-01
-1.0257e-09	-2.1800e-01
-8.7842e-10	-2.1700e-01
-1.1099e-09	-2.1600e-01
-9.4155e-10	-2.1500e-01
-9.8364e-10	-2.1400e-01
-1.0047e-09	-2.1300e-01
-1.1310e-09	-2.1200e-01
-8.9946e-10	-2.1100e-01
-1.1099e-09	-2.1000e-01
-9.4155e-10	-2.0900e-01
-1.0468e-09	-2.0800e-01
-1.0678e-09	-2.0700e-01
-8.9946e-10	-2.0600e-01
-1.2783e-09	-2.0500e-01
-1.0468e-09	-2.0400e-01
-1.0257e-09	-2.0300e-01
-8.5737e-10	-2.0200e-01
-9.2051e-10	-2.0100e-01
-1.0047e-09	-2.0000e-01
-8.1528e-10	-1.9900e-01
-1.1730e-09	-1.9800e-01
-9.8364e-10	-1.9700e-01
-9.2051e-10	-1.9600e-01
-8.7842e-10	-1.9500e-01
-8.3633e-10	-1.9400e-01
-7.9423e-10	-1.9300e-01
-1.0047e-09	-1.9200e-01
-7.3110e-10	-1.9100e-01
-9.4155e-10	-1.9000e-01
-8.7842e-10	-1.8900e-01
-9.2051e-10	-1.8800e-01
-1.0047e-09	-1.8700e-01
-9.2051e-10	-1.8600e-01
-9.8364e-10	-1.8500e-01
-8.1528e-10	-1.8400e-01
-8.3633e-10	-1.8300e-01
-8.9946e-10	-1.8200e-01
-7.9423e-10	-1.8100e-01
-8.5737e-10	-1.8000e-01
-9.6260e-10	-1.7900e-01
-9.4155e-10	-1.7800e-01
-7.7319e-10	-1.7700e-01
-7.3110e-10	-1.7600e-01
-7.1005e-10	-1.7500e-01
-7.9423e-10	-1.7400e-01
-7.9423e-10	-1.7300e-01
-8.5737e-10	-1.7200e-01
-7.5214e-10	-1.7100e-01
-8.1528e-10	-1.7000e-01
-9.6260e-10	-1.6900e-01
-7.9423e-10	-1.6800e-01
-8.1528e-10	-1.6700e-01
-8.1528e-10	-1.6600e-01
-7.9423e-10	-1.6500e-01
-8.1528e-10	-1.6400e-01
-7.5214e-10	-1.6300e-01
-8.5737e-10	-1.6200e-01
