InterPad_I	InterPad_V
-2.4993e-06	-5.0000e-01
-2.5036e-06	-4.9900e-01
-2.4991e-06	-4.9800e-01
-2.5040e-06	-4.9700e-01
-2.5028e-06	-4.9600e-01
-2.5110e-06	-4.9500e-01
-2.5070e-06	-4.9400e-01
-2.5171e-06	-4.9300e-01
-2.5250e-06	-4.9200e-01
-2.5128e-06	-4.9100e-01
-2.5054e-06	-4.9000e-01
-2.5190e-06	-4.8900e-01
-2.5021e-06	-4.8800e-01
-2.5175e-06	-4.8700e-01
-2.5105e-06	-4.8600e-01
-2.5140e-06	-4.8500e-01
-2.5189e-06	-4.8400e-01
-2.5211e-06	-4.8300e-01
-2.5308e-06	-4.8200e-01
-2.5079e-06	-4.8100e-01
-2.5191e-06	-4.8000e-01
-2.5016e-06	-4.7900e-01
-2.5124e-06	-4.7800e-01
-2.5313e-06	-4.7700e-01
-2.5244e-06	-4.7600e-01
-2.5112e-06	-4.7500e-01
-2.5012e-06	-4.7400e-01
-2.5143e-06	-4.7300e-01
-2.5315e-06	-4.7200e-01
-2.5554e-06	-4.7100e-01
-2.5198e-06	-4.7000e-01
-2.5485e-06	-4.6900e-01
-2.5516e-06	-4.6800e-01
-2.5378e-06	-4.6700e-01
-2.5429e-06	-4.6600e-01
-2.5411e-06	-4.6500e-01
-2.5414e-06	-4.6400e-01
-2.5413e-06	-4.6300e-01
-2.5457e-06	-4.6200e-01
-2.5461e-06	-4.6100e-01
-2.5477e-06	-4.6000e-01
-2.5386e-06	-4.5900e-01
-2.5370e-06	-4.5800e-01
-2.5570e-06	-4.5700e-01
-2.5501e-06	-4.5600e-01
-2.5465e-06	-4.5500e-01
-2.5195e-06	-4.5400e-01
-2.5359e-06	-4.5300e-01
-2.5326e-06	-4.5200e-01
-2.5497e-06	-4.5100e-01
-2.5390e-06	-4.5000e-01
-2.5497e-06	-4.4900e-01
-2.5248e-06	-4.4800e-01
-2.5521e-06	-4.4700e-01
-2.5355e-06	-4.4600e-01
-2.5412e-06	-4.4500e-01
-2.5371e-06	-4.4400e-01
-2.5479e-06	-4.4300e-01
-2.5335e-06	-4.4200e-01
-2.5348e-06	-4.4100e-01
-2.5269e-06	-4.4000e-01
-2.5400e-06	-4.3900e-01
-2.5340e-06	-4.3800e-01
-2.5209e-06	-4.3700e-01
-2.5510e-06	-4.3600e-01
-2.5457e-06	-4.3500e-01
-2.5422e-06	-4.3400e-01
-2.5444e-06	-4.3300e-01
-2.5434e-06	-4.3200e-01
-2.5550e-06	-4.3100e-01
-2.5379e-06	-4.3000e-01
-2.5267e-06	-4.2900e-01
-2.5306e-06	-4.2800e-01
-2.5383e-06	-4.2700e-01
-2.5215e-06	-4.2600e-01
-2.5555e-06	-4.2500e-01
-2.5453e-06	-4.2400e-01
-2.5431e-06	-4.2300e-01
-2.5495e-06	-4.2200e-01
-2.5221e-06	-4.2100e-01
-2.5663e-06	-4.2000e-01
-2.5604e-06	-4.1900e-01
-2.5368e-06	-4.1800e-01
-2.5367e-06	-4.1700e-01
-2.5553e-06	-4.1600e-01
-2.5443e-06	-4.1500e-01
-2.5329e-06	-4.1400e-01
-2.5282e-06	-4.1300e-01
-2.5318e-06	-4.1200e-01
-2.5296e-06	-4.1100e-01
-2.5309e-06	-4.1000e-01
-2.5307e-06	-4.0900e-01
-2.5200e-06	-4.0800e-01
-2.5257e-06	-4.0700e-01
-2.5269e-06	-4.0600e-01
-2.5277e-06	-4.0500e-01
-2.5223e-06	-4.0400e-01
-2.4943e-06	-4.0300e-01
-2.5182e-06	-4.0200e-01
-2.5176e-06	-4.0100e-01
-2.5187e-06	-4.0000e-01
-2.5126e-06	-3.9900e-01
-2.5029e-06	-3.9800e-01
-2.5048e-06	-3.9700e-01
-2.5151e-06	-3.9600e-01
-2.5350e-06	-3.9500e-01
-2.5138e-06	-3.9400e-01
-2.5299e-06	-3.9300e-01
-2.5079e-06	-3.9200e-01
-2.4878e-06	-3.9100e-01
-2.5002e-06	-3.9000e-01
-2.4822e-06	-3.8900e-01
-2.4870e-06	-3.8800e-01
-2.5024e-06	-3.8700e-01
-2.4956e-06	-3.8600e-01
-2.5034e-06	-3.8500e-01
-2.4883e-06	-3.8400e-01
-2.4918e-06	-3.8300e-01
-2.4982e-06	-3.8200e-01
-2.4962e-06	-3.8100e-01
-2.4803e-06	-3.8000e-01
-2.4828e-06	-3.7900e-01
-2.4804e-06	-3.7800e-01
-2.4910e-06	-3.7700e-01
-2.4854e-06	-3.7600e-01
-2.4792e-06	-3.7500e-01
-2.4822e-06	-3.7400e-01
-2.4805e-06	-3.7300e-01
-2.4832e-06	-3.7200e-01
-2.4748e-06	-3.7100e-01
-2.4792e-06	-3.7000e-01
-2.4909e-06	-3.6900e-01
-2.4835e-06	-3.6800e-01
-2.4863e-06	-3.6700e-01
-2.4923e-06	-3.6600e-01
-2.4902e-06	-3.6500e-01
-2.4847e-06	-3.6400e-01
-2.4655e-06	-3.6300e-01
-2.4774e-06	-3.6200e-01
-2.4734e-06	-3.6100e-01
-2.4895e-06	-3.6000e-01
-2.4768e-06	-3.5900e-01
-2.4808e-06	-3.5800e-01
-2.4857e-06	-3.5700e-01
-2.4815e-06	-3.5600e-01
-2.4682e-06	-3.5500e-01
-2.4647e-06	-3.5400e-01
-2.4754e-06	-3.5300e-01
-2.4805e-06	-3.5200e-01
-2.4770e-06	-3.5100e-01
-2.4788e-06	-3.5000e-01
-2.4726e-06	-3.4900e-01
-2.4742e-06	-3.4800e-01
-2.4733e-06	-3.4700e-01
-2.4595e-06	-3.4600e-01
-2.4688e-06	-3.4500e-01
-2.4686e-06	-3.4400e-01
-2.4656e-06	-3.4300e-01
-2.4563e-06	-3.4200e-01
-2.4538e-06	-3.4100e-01
-2.4625e-06	-3.4000e-01
-2.4588e-06	-3.3900e-01
-2.4557e-06	-3.3800e-01
-2.4522e-06	-3.3700e-01
-2.4549e-06	-3.3600e-01
-2.4544e-06	-3.3500e-01
-2.4626e-06	-3.3400e-01
-2.4551e-06	-3.3300e-01
-2.4536e-06	-3.3200e-01
-2.4321e-06	-3.3100e-01
-2.4466e-06	-3.3000e-01
-2.4428e-06	-3.2900e-01
-2.4558e-06	-3.2800e-01
-2.4380e-06	-3.2700e-01
-2.4398e-06	-3.2600e-01
-2.4403e-06	-3.2500e-01
-2.4341e-06	-3.2400e-01
-2.4414e-06	-3.2300e-01
-2.4306e-06	-3.2200e-01
-2.4105e-06	-3.2100e-01
-2.4196e-06	-3.2000e-01
-2.4147e-06	-3.1900e-01
-2.4302e-06	-3.1800e-01
-2.4257e-06	-3.1700e-01
-2.4286e-06	-3.1600e-01
-2.4286e-06	-3.1500e-01
-2.4255e-06	-3.1400e-01
-2.4248e-06	-3.1300e-01
-2.4083e-06	-3.1200e-01
-2.4128e-06	-3.1100e-01
-2.4016e-06	-3.1000e-01
-2.3910e-06	-3.0900e-01
-2.4085e-06	-3.0800e-01
-2.4086e-06	-3.0700e-01
-2.4218e-06	-3.0600e-01
-2.4107e-06	-3.0500e-01
-2.4003e-06	-3.0400e-01
-2.4202e-06	-3.0300e-01
-2.4342e-06	-3.0200e-01
-2.3980e-06	-3.0100e-01
-2.4156e-06	-3.0000e-01
-2.4121e-06	-2.9900e-01
-2.4055e-06	-2.9800e-01
-2.4177e-06	-2.9700e-01
-2.3957e-06	-2.9600e-01
-2.3904e-06	-2.9500e-01
-2.4090e-06	-2.9400e-01
-2.4077e-06	-2.9300e-01
-2.4060e-06	-2.9200e-01
-2.4115e-06	-2.9100e-01
-2.4092e-06	-2.9000e-01
-2.4115e-06	-2.8900e-01
-2.4053e-06	-2.8800e-01
-2.4008e-06	-2.8700e-01
-2.3934e-06	-2.8600e-01
-2.3936e-06	-2.8500e-01
-2.3767e-06	-2.8400e-01
-2.4037e-06	-2.8300e-01
-2.4072e-06	-2.8200e-01
-2.3981e-06	-2.8100e-01
-2.3920e-06	-2.8000e-01
-2.3856e-06	-2.7900e-01
-2.3922e-06	-2.7800e-01
-2.3754e-06	-2.7700e-01
-2.3624e-06	-2.7600e-01
-2.3689e-06	-2.7500e-01
-2.3762e-06	-2.7400e-01
-2.3778e-06	-2.7300e-01
-2.3796e-06	-2.7200e-01
-2.3843e-06	-2.7100e-01
-2.3584e-06	-2.7000e-01
-2.3745e-06	-2.6900e-01
-2.3650e-06	-2.6800e-01
-2.3602e-06	-2.6700e-01
-2.3576e-06	-2.6600e-01
-2.3662e-06	-2.6500e-01
-2.3735e-06	-2.6400e-01
-2.3755e-06	-2.6300e-01
-2.3523e-06	-2.6200e-01
-2.3700e-06	-2.6100e-01
-2.3570e-06	-2.6000e-01
-2.3507e-06	-2.5900e-01
-2.3569e-06	-2.5800e-01
-2.3526e-06	-2.5700e-01
-2.3484e-06	-2.5600e-01
-2.3493e-06	-2.5500e-01
-2.3455e-06	-2.5400e-01
-2.3398e-06	-2.5300e-01
-2.3293e-06	-2.5200e-01
-2.3411e-06	-2.5100e-01
-2.3190e-06	-2.5000e-01
-2.3264e-06	-2.4900e-01
-2.3086e-06	-2.4800e-01
-2.3179e-06	-2.4700e-01
-2.3055e-06	-2.4600e-01
-2.3097e-06	-2.4500e-01
-2.3212e-06	-2.4400e-01
-2.3050e-06	-2.4300e-01
-2.3036e-06	-2.4200e-01
-2.3111e-06	-2.4100e-01
-2.2937e-06	-2.4000e-01
-2.2962e-06	-2.3900e-01
-2.3046e-06	-2.3800e-01
-2.2813e-06	-2.3700e-01
-2.2824e-06	-2.3600e-01
-2.2870e-06	-2.3500e-01
-2.2798e-06	-2.3400e-01
