InterPad_I	InterPad_V
-7.1005e-10	-5.0000e-01
-8.3633e-10	-4.9900e-01
-8.5737e-10	-4.9800e-01
-7.9423e-10	-4.9700e-01
-6.4692e-10	-4.9600e-01
-7.1005e-10	-4.9500e-01
-5.2065e-10	-4.9400e-01
-6.4692e-10	-4.9300e-01
-7.1005e-10	-4.9200e-01
-7.9423e-10	-4.9100e-01
-7.7319e-10	-4.9000e-01
-7.9423e-10	-4.8900e-01
-6.6796e-10	-4.8800e-01
-8.7842e-10	-4.8700e-01
-6.8901e-10	-4.8600e-01
-6.6796e-10	-4.8500e-01
-7.7319e-10	-4.8400e-01
-8.1528e-10	-4.8300e-01
-6.2587e-10	-4.8200e-01
-7.3110e-10	-4.8100e-01
-5.6274e-10	-4.8000e-01
-5.4169e-10	-4.7900e-01
-6.2587e-10	-4.7800e-01
-6.6796e-10	-4.7700e-01
-6.2587e-10	-4.7600e-01
-6.0483e-10	-4.7500e-01
-8.9946e-10	-4.7400e-01
-8.7842e-10	-4.7300e-01
-5.6274e-10	-4.7200e-01
-8.5737e-10	-4.7100e-01
-8.5737e-10	-4.7000e-01
-7.3110e-10	-4.6900e-01
-7.7319e-10	-4.6800e-01
-7.1005e-10	-4.6700e-01
-6.6796e-10	-4.6600e-01
-8.1528e-10	-4.6500e-01
-7.9423e-10	-4.6400e-01
-6.4692e-10	-4.6300e-01
-8.3633e-10	-4.6200e-01
-9.2051e-10	-4.6100e-01
-5.6274e-10	-4.6000e-01
-7.1005e-10	-4.5900e-01
-6.6796e-10	-4.5800e-01
-5.6274e-10	-4.5700e-01
-5.2065e-10	-4.5600e-01
-6.8901e-10	-4.5500e-01
-7.3110e-10	-4.5400e-01
-6.6796e-10	-4.5300e-01
-5.8378e-10	-4.5200e-01
-6.4692e-10	-4.5100e-01
-7.1005e-10	-4.5000e-01
-7.3110e-10	-4.4900e-01
-6.8901e-10	-4.4800e-01
-8.3633e-10	-4.4700e-01
-3.9438e-10	-4.4600e-01
-8.5737e-10	-4.4500e-01
-6.8901e-10	-4.4400e-01
-6.6796e-10	-4.4300e-01
-6.8901e-10	-4.4200e-01
-5.6274e-10	-4.4100e-01
-6.2587e-10	-4.4000e-01
-7.3110e-10	-4.3900e-01
-5.8378e-10	-4.3800e-01
-6.8901e-10	-4.3700e-01
-7.9423e-10	-4.3600e-01
-6.4692e-10	-4.3500e-01
-6.0483e-10	-4.3400e-01
-6.6796e-10	-4.3300e-01
-5.2065e-10	-4.3200e-01
-5.6274e-10	-4.3100e-01
-5.6274e-10	-4.3000e-01
-8.1528e-10	-4.2900e-01
-7.5214e-10	-4.2800e-01
-6.0483e-10	-4.2700e-01
-7.5214e-10	-4.2600e-01
-8.9946e-10	-4.2500e-01
-6.0483e-10	-4.2400e-01
-7.3110e-10	-4.2300e-01
-8.1528e-10	-4.2200e-01
-7.5214e-10	-4.2100e-01
-7.5214e-10	-4.2000e-01
-6.2587e-10	-4.1900e-01
-6.6796e-10	-4.1800e-01
-5.6274e-10	-4.1700e-01
-7.7319e-10	-4.1600e-01
-6.6796e-10	-4.1500e-01
-5.2065e-10	-4.1400e-01
-7.3110e-10	-4.1300e-01
-5.2065e-10	-4.1200e-01
-4.9960e-10	-4.1100e-01
-6.2587e-10	-4.1000e-01
-5.2065e-10	-4.0900e-01
-5.2065e-10	-4.0800e-01
-6.2587e-10	-4.0700e-01
-6.8901e-10	-4.0600e-01
-4.3647e-10	-4.0500e-01
-7.1005e-10	-4.0400e-01
-7.1005e-10	-4.0300e-01
-5.2065e-10	-4.0200e-01
-5.2065e-10	-4.0100e-01
-6.0483e-10	-4.0000e-01
-6.0483e-10	-3.9900e-01
-6.0483e-10	-3.9800e-01
-7.9423e-10	-3.9700e-01
-7.3110e-10	-3.9600e-01
-5.8378e-10	-3.9500e-01
