InterPad_I	InterPad_V
-1.3365e-06	-3.2300e-01
-1.3412e-06	-3.2200e-01
-1.3372e-06	-3.2100e-01
-1.3367e-06	-3.2000e-01
-1.3389e-06	-3.1900e-01
-1.3344e-06	-3.1800e-01
-1.3308e-06	-3.1700e-01
-1.3219e-06	-3.1600e-01
-1.3243e-06	-3.1500e-01
-1.3197e-06	-3.1400e-01
-1.3178e-06	-3.1300e-01
-1.3190e-06	-3.1200e-01
-1.3126e-06	-3.1100e-01
-1.3158e-06	-3.1000e-01
-1.3107e-06	-3.0900e-01
-1.3098e-06	-3.0800e-01
-1.3098e-06	-3.0700e-01
-1.3097e-06	-3.0600e-01
-1.3067e-06	-3.0500e-01
-1.3043e-06	-3.0400e-01
-1.3027e-06	-3.0300e-01
-1.2985e-06	-3.0200e-01
-1.2938e-06	-3.0100e-01
-1.2935e-06	-3.0000e-01
-1.2895e-06	-2.9900e-01
-1.2913e-06	-2.9800e-01
-1.2793e-06	-2.9700e-01
-1.2834e-06	-2.9600e-01
-1.2837e-06	-2.9500e-01
-1.2796e-06	-2.9400e-01
-1.2805e-06	-2.9300e-01
-1.2738e-06	-2.9200e-01
-1.2725e-06	-2.9100e-01
-1.2684e-06	-2.9000e-01
-1.2705e-06	-2.8900e-01
-1.2707e-06	-2.8800e-01
-1.2642e-06	-2.8700e-01
-1.2652e-06	-2.8600e-01
-1.2600e-06	-2.8500e-01
-1.2569e-06	-2.8400e-01
-1.2529e-06	-2.8300e-01
-1.2543e-06	-2.8200e-01
-1.2577e-06	-2.8100e-01
-1.2501e-06	-2.8000e-01
-1.2457e-06	-2.7900e-01
-1.2435e-06	-2.7800e-01
-1.2437e-06	-2.7700e-01
-1.2369e-06	-2.7600e-01
-1.2387e-06	-2.7500e-01
-1.2398e-06	-2.7400e-01
-1.2366e-06	-2.7300e-01
-1.2311e-06	-2.7200e-01
-1.2307e-06	-2.7100e-01
-1.2261e-06	-2.7000e-01
-1.2252e-06	-2.6900e-01
-1.2275e-06	-2.6800e-01
-1.2276e-06	-2.6700e-01
-1.2160e-06	-2.6600e-01
-1.2116e-06	-2.6500e-01
-1.2138e-06	-2.6400e-01
-1.2105e-06	-2.6300e-01
-1.2083e-06	-2.6200e-01
-1.2048e-06	-2.6100e-01
-1.2074e-06	-2.6000e-01
-1.2003e-06	-2.5900e-01
-1.1982e-06	-2.5800e-01
-1.1973e-06	-2.5700e-01
-1.1903e-06	-2.5600e-01
-1.1909e-06	-2.5500e-01
-1.1870e-06	-2.5400e-01
-1.1836e-06	-2.5300e-01
-1.1800e-06	-2.5200e-01
-1.1779e-06	-2.5100e-01
-1.1738e-06	-2.5000e-01
-1.1712e-06	-2.4900e-01
-1.1714e-06	-2.4800e-01
-1.1667e-06	-2.4700e-01
-1.1625e-06	-2.4600e-01
-1.1583e-06	-2.4500e-01
-1.1566e-06	-2.4400e-01
-1.1544e-06	-2.4300e-01
-1.1507e-06	-2.4200e-01
-1.1486e-06	-2.4100e-01
-1.1438e-06	-2.4000e-01
-1.1451e-06	-2.3900e-01
-1.1374e-06	-2.3800e-01
-1.1333e-06	-2.3700e-01
-1.1320e-06	-2.3600e-01
-1.1272e-06	-2.3500e-01
-1.1234e-06	-2.3400e-01
-1.1235e-06	-2.3300e-01
-1.1184e-06	-2.3200e-01
-1.1138e-06	-2.3100e-01
-1.1128e-06	-2.3000e-01
-1.1137e-06	-2.2900e-01
-1.1082e-06	-2.2800e-01
-1.1024e-06	-2.2700e-01
-1.0979e-06	-2.2600e-01
-1.1008e-06	-2.2500e-01
-1.0924e-06	-2.2400e-01
-1.0868e-06	-2.2300e-01
-1.0835e-06	-2.2200e-01
-1.0817e-06	-2.2100e-01
-1.0803e-06	-2.2000e-01
-1.0778e-06	-2.1900e-01
-1.0727e-06	-2.1800e-01
-1.0686e-06	-2.1700e-01
-1.0657e-06	-2.1600e-01
-1.0613e-06	-2.1500e-01
-1.0582e-06	-2.1400e-01
-1.0567e-06	-2.1300e-01
-1.0541e-06	-2.1200e-01
-1.0463e-06	-2.1100e-01
-1.0455e-06	-2.1000e-01
-1.0406e-06	-2.0900e-01
-1.0384e-06	-2.0800e-01
-1.0380e-06	-2.0700e-01
-1.0289e-06	-2.0600e-01
-1.0309e-06	-2.0500e-01
-1.0251e-06	-2.0400e-01
-1.0240e-06	-2.0300e-01
-1.0190e-06	-2.0200e-01
-1.0179e-06	-2.0100e-01
-1.0126e-06	-2.0000e-01
-1.0082e-06	-1.9900e-01
-1.0035e-06	-1.9800e-01
-9.9947e-07	-1.9700e-01
-9.9288e-07	-1.9600e-01
-9.9219e-07	-1.9500e-01
-9.8686e-07	-1.9400e-01
-9.8240e-07	-1.9300e-01
-9.7855e-07	-1.9200e-01
-9.7274e-07	-1.9100e-01
-9.7236e-07	-1.9000e-01
-9.6822e-07	-1.8900e-01
-9.6235e-07	-1.8800e-01
-9.6009e-07	-1.8700e-01
-9.5671e-07	-1.8600e-01
-9.5144e-07	-1.8500e-01
-9.4641e-07	-1.8400e-01
-9.4075e-07	-1.8300e-01
-9.3585e-07	-1.8200e-01
-9.3101e-07	-1.8100e-01
-9.2930e-07	-1.8000e-01
-9.2354e-07	-1.7900e-01
-9.1952e-07	-1.7800e-01
-9.1550e-07	-1.7700e-01
-9.1127e-07	-1.7600e-01
-9.0855e-07	-1.7500e-01
-9.0243e-07	-1.7400e-01
-8.9849e-07	-1.7300e-01
-8.9420e-07	-1.7200e-01
-8.9104e-07	-1.7100e-01
-8.8574e-07	-1.7000e-01
-8.8061e-07	-1.6900e-01
-8.7625e-07	-1.6800e-01
-8.7318e-07	-1.6700e-01
-8.6663e-07	-1.6600e-01
-8.6127e-07	-1.6500e-01
-8.5792e-07	-1.6400e-01
-8.5548e-07	-1.6300e-01
-8.4971e-07	-1.6200e-01
-8.4565e-07	-1.6100e-01
-8.4352e-07	-1.6000e-01
-8.3730e-07	-1.5900e-01
-8.3241e-07	-1.5800e-01
-8.2681e-07	-1.5700e-01
-8.2322e-07	-1.5600e-01
-8.1827e-07	-1.5500e-01
-8.1349e-07	-1.5400e-01
-8.0802e-07	-1.5300e-01
-8.0588e-07	-1.5200e-01
-8.0133e-07	-1.5100e-01
-7.9634e-07	-1.5000e-01
-7.9209e-07	-1.4900e-01
-7.8649e-07	-1.4800e-01
-7.8300e-07	-1.4700e-01
-7.7946e-07	-1.4600e-01
-7.7391e-07	-1.4500e-01
-7.6919e-07	-1.4400e-01
-7.6427e-07	-1.4300e-01
-7.5880e-07	-1.4200e-01
-7.5389e-07	-1.4100e-01
-7.4941e-07	-1.4000e-01
-7.4415e-07	-1.3900e-01
-7.3880e-07	-1.3800e-01
-7.3407e-07	-1.3700e-01
-7.2906e-07	-1.3600e-01
-7.2228e-07	-1.3500e-01
-7.1894e-07	-1.3400e-01
-7.1467e-07	-1.3300e-01
-7.0865e-07	-1.3200e-01
-7.0328e-07	-1.3100e-01
-6.9907e-07	-1.3000e-01
-6.9394e-07	-1.2900e-01
-6.9034e-07	-1.2800e-01
-6.8426e-07	-1.2700e-01
-6.7885e-07	-1.2600e-01
-6.7500e-07	-1.2500e-01
-6.6994e-07	-1.2400e-01
-6.6500e-07	-1.2300e-01
-6.5957e-07	-1.2200e-01
-6.5403e-07	-1.2100e-01
-6.4964e-07	-1.2000e-01
-6.4393e-07	-1.1900e-01
-6.3926e-07	-1.1800e-01
-6.3455e-07	-1.1700e-01
-6.3015e-07	-1.1600e-01
-6.2497e-07	-1.1500e-01
-6.1948e-07	-1.1400e-01
-6.1485e-07	-1.1300e-01
-6.1001e-07	-1.1200e-01
-6.0386e-07	-1.1100e-01
-5.9820e-07	-1.1000e-01
-5.9355e-07	-1.0900e-01
-5.8795e-07	-1.0800e-01
-5.8332e-07	-1.0700e-01
-5.7852e-07	-1.0600e-01
-5.7190e-07	-1.0500e-01
-5.6626e-07	-1.0400e-01
-5.6131e-07	-1.0300e-01
-5.5685e-07	-1.0200e-01
-5.5117e-07	-1.0100e-01
-5.4572e-07	-1.0000e-01
-5.4029e-07	-9.9000e-02
-5.3528e-07	-9.8000e-02
-5.3033e-07	-9.7000e-02
-5.2429e-07	-9.6000e-02
-5.1994e-07	-9.5000e-02
-5.1463e-07	-9.4000e-02
-5.0920e-07	-9.3000e-02
-5.0348e-07	-9.2000e-02
-4.9870e-07	-9.1000e-02
-4.9312e-07	-9.0000e-02
-4.8658e-07	-8.9000e-02
-4.8212e-07	-8.8000e-02
-4.7723e-07	-8.7000e-02
-4.7180e-07	-8.6000e-02
-4.6671e-07	-8.5000e-02
-4.6156e-07	-8.4000e-02
-4.5619e-07	-8.3000e-02
-4.5181e-07	-8.2000e-02
