InterPad_I	InterPad_V
-2.2628e-06	-5.0000e-01
-2.2675e-06	-4.9900e-01
-2.2676e-06	-4.9800e-01
-2.2622e-06	-4.9700e-01
-2.2687e-06	-4.9600e-01
-2.2563e-06	-4.9500e-01
-2.2578e-06	-4.9400e-01
-2.2582e-06	-4.9300e-01
-2.2656e-06	-4.9200e-01
-2.2522e-06	-4.9100e-01
-2.2561e-06	-4.9000e-01
-2.2586e-06	-4.8900e-01
-2.2570e-06	-4.8800e-01
-2.2505e-06	-4.8700e-01
-2.2495e-06	-4.8600e-01
-2.2639e-06	-4.8500e-01
-2.2638e-06	-4.8400e-01
-2.2670e-06	-4.8300e-01
-2.2521e-06	-4.8200e-01
-2.2492e-06	-4.8100e-01
-2.2506e-06	-4.8000e-01
-2.2529e-06	-4.7900e-01
-2.2527e-06	-4.7800e-01
-2.2534e-06	-4.7700e-01
-2.2705e-06	-4.7600e-01
-2.2736e-06	-4.7500e-01
-2.2542e-06	-4.7400e-01
-2.2534e-06	-4.7300e-01
-2.2612e-06	-4.7200e-01
-2.2603e-06	-4.7100e-01
-2.2666e-06	-4.7000e-01
-2.2746e-06	-4.6900e-01
-2.2547e-06	-4.6800e-01
-2.2473e-06	-4.6700e-01
-2.2608e-06	-4.6600e-01
-2.2433e-06	-4.6500e-01
-2.2522e-06	-4.6400e-01
-2.2349e-06	-4.6300e-01
-2.2531e-06	-4.6200e-01
-2.2416e-06	-4.6100e-01
-2.2386e-06	-4.6000e-01
-2.2488e-06	-4.5900e-01
-2.2318e-06	-4.5800e-01
-2.2434e-06	-4.5700e-01
-2.2252e-06	-4.5600e-01
-2.2205e-06	-4.5500e-01
-2.2243e-06	-4.5400e-01
-2.2378e-06	-4.5300e-01
-2.2259e-06	-4.5200e-01
-2.2240e-06	-4.5100e-01
-2.2214e-06	-4.5000e-01
-2.2265e-06	-4.4900e-01
-2.2344e-06	-4.4800e-01
-2.2241e-06	-4.4700e-01
-2.2306e-06	-4.4600e-01
-2.2185e-06	-4.4500e-01
-2.2183e-06	-4.4400e-01
-2.2259e-06	-4.4300e-01
-2.2148e-06	-4.4200e-01
-2.2171e-06	-4.4100e-01
-2.2061e-06	-4.4000e-01
-2.2027e-06	-4.3900e-01
-2.2193e-06	-4.3800e-01
-2.2119e-06	-4.3700e-01
-2.2187e-06	-4.3600e-01
-2.2109e-06	-4.3500e-01
-2.2166e-06	-4.3400e-01
-2.2138e-06	-4.3300e-01
-2.2092e-06	-4.3200e-01
-2.2086e-06	-4.3100e-01
-2.2079e-06	-4.3000e-01
-2.1989e-06	-4.2900e-01
-2.2083e-06	-4.2800e-01
-2.1951e-06	-4.2700e-01
-2.2008e-06	-4.2600e-01
-2.1994e-06	-4.2500e-01
-2.2008e-06	-4.2400e-01
-2.2041e-06	-4.2300e-01
-2.1962e-06	-4.2200e-01
-2.1853e-06	-4.2100e-01
-2.1837e-06	-4.2000e-01
-2.1919e-06	-4.1900e-01
-2.1842e-06	-4.1800e-01
-2.1873e-06	-4.1700e-01
-2.1794e-06	-4.1600e-01
-2.1737e-06	-4.1500e-01
